key,2021.09.17.0000.0000,2021.10.26.0000.0000,2021.11.28.0000.0000,2021.12.16.0000.0000,2021.12.24.0000.0000,2022.01.06.0000.0000,2022.01.25.0000.0000
_game_ver,cn_5.55,cn_5.57,in_6.00,in_6.01,in_6.05,cn_5.58,in_6.08
LobbyCharCreate,,,0x000E,0x000E,0x000E,,0x000E
LobbyCharList,,,0x000D,0x000D,0x000D,,0x000D
LobbyEnterWorld,,,0x000F,0x000F,0x000F,,0x000F
LobbyError,,,0x0002,0x0002,0x0002,,0x0002
LobbyRetainerList,,,0x0017,0x0017,0x0017,,0x0017
LobbyServerList,,,0x0015,0x0015,0x0015,,0x0015
LobbyServiceAccountList,,,0x000C,0x000C,0x000C,,0x000C
